Poshmark Sales Report for @tomfiji,"","",Tom,Fijalkowski
12/31/2025 - 04/06/2026
Notes:
"** Only completed sales, where you have received earnings, are shown in this file."
** Bundles are displayed as itemized listings.
"** Order price for a bundle item is the listing price, minus the bundle discount or the offer discount, if either was applied."
"** Lowest set price is the lowest historical price set by the seller, not including offer or bundle discounts."
"** Seller shipping discount for an individual bundle item is the bundle item price, divided by the total bundle price, multiplied by the seller shipping discount for the total bundle."
"** Net earnings is order price, minus the seller shipping discount, minus Poshmark fees, minus tax if applicable."
** The balance amount on this page should not be used for accounting purposes. Please refer to the 'My Balance' page to find the amount that can be used/spent/withdrawn.
"** If sales tax was collected from the buyer, it will be submitted to the state on your behalf. Please see Terms of Service for full details."
""
Listing Date,Order Date,SKU,Order Id,Listing Title,Department,Category,Subcategory,Brand,Color,Size,Bundle Order?,Offer Order,NWT,Cost Price,Order Price,Lowest Set Price,Seller Shipping Discount,Upgraded Shipping Label Fee,Packaging Fee,Your Earnings,Buyer State,Buyer Zip Code,Buyer Username,Sales Tax (Paid by Buyer),Notes,Other Info
02/28/2026,03/01/2026,"",69a4619542119645a3bc40be,Peter Millar Pullover Men's Medium Perth Engineered Stripe Performance 1/4 Zip,Men,Sweaters,Zip Up,Peter Millar,Blue,M,N,N,N,"",$35.00,$35.00,$0.00,$0.00,$0.00,$28.00,NY,12118,richardhakanson,$1.24,$0.00,"",
02/28/2026,03/02/2026,"",69a57f92daf79241ff403358,Lululemon Henley Long Sleeve T-Shirt Men's M Medium Heather Grey Stretch,Men,Shirts,Tees - Long Sleeve,lululemon athletica,Gray,M,N,Y,N,"",$15.00,$20.00,$0.00,$0.00,$0.00,$12.00,DC,20009,ajgluntz1,$1.29,$0.00,"",
02/28/2026,03/01/2026,"",69a4eb34d85e114858dd7a8c,Peter Millar Shinnecock Hills Golf Club Members Logo 1/4 Zip Sweater Mens Medium,Men,Sweaters,Crewneck,Peter Millar,Blue,M,N,Y,N,"",$100.00,$125.00,$0.00,$0.00,$0.00,$80.00,NY,11791,bl_f90,$4.93,$0.00,"",
02/28/2026,03/01/2026,"",69a4e8721277fb2009b60232,Peter Millar Full Zip Fleece Hoodie Men's Size Large Friars Head Golf Club,Men,Shirts,Sweatshirts & Hoodies,Peter Millar,Blue,L,N,Y,N,"",$100.00,$140.00,$0.00,$0.00,$0.00,$80.00,NY,11791,bl_f90,$4.93,$0.00,"",
02/28/2026,03/01/2026,"",69a46b7559f4d6a08fc8841b,Greyson Polo Men's Medium Performance Golf Shirt Light Blue Stretch,Men,Shirts,Polos,Greyson,Blue,M,Y,Y,N,"",$26.25,$35.00,$0.00,$0.00,$0.00,$21.00,MI,48310,trainer_marko,$1.58,$0.00,"",
02/28/2026,03/01/2026,"",69a46b7559f4d6a08fc8841b,Greyson Merwolf All Over Print Polo Golf Shirt Men's Size Medium,Men,Shirts,Polos,Greyson,Pink,M,Y,Y,N,"",$26.25,$35.00,$0.00,$0.00,$0.00,$21.00,MI,48310,trainer_marko,$1.58,$0.00,"",
02/28/2026,03/01/2026,"",69a46b7559f4d6a08fc8841b,Greyson Golf Polo Shirt Mens Medium Navy Orange Striped Short Sleeve Performance,Men,Shirts,Polos,Greyson,"",M,Y,Y,N,"",$22.50,$30.00,$0.00,$0.00,$0.00,$18.00,MI,48310,trainer_marko,$1.35,$0.00,"",
02/28/2026,03/03/2026,"",69a79c71d85e11fbd904dd67,Zero Restriction Westhampton Country Club Pullover Men's Medium 1/4 Zip Sweater,Men,Sweaters,Zip Up,zero restriction,Blue,M,N,Y,N,"",$28.00,$50.00,$0.00,$0.00,$0.00,$22.40,CT,06443,josephdebrita,$2.19,$0.00,"",
02/28/2026,02/28/2026,"",69a39a3dc24a6d43a4596354,Vineyard Vines Performance Sankaty Polo Men's XL Striped Golf Whale Logo,Men,Shirts,Polos,Vineyard Vines,Blue,XL,N,N,N,"",$30.00,$30.00,$0.00,$0.00,$0.00,$24.00,OH,44023,jstever1,$2.30,$0.00,"",
02/28/2026,03/02/2026,"",69a5eb18520b7036ad1fc60e,Nike Windbreaker Jacket WindRunnner Mens Size XL White Black Gray 727324-101,Men,Jackets & Coats,Windbreakers,Nike,"",XL,N,Y,N,"",$20.00,$30.00,$0.00,$0.00,$0.00,$16.00,TN,37051,walkerbh1997,$2.58,$0.00,"",
